doc_id,agency,date,date_precision,location,country,encounter_type,entity_count,entity_height,entity_appearance,entity_clothing,entity_behavior,communication_method,communication_content,claimant_type,claimant_firsthand,document_stance,physical_effects,pages,quote,confidence,summary
65_hs1-834228961_62-hq-83894_section_1,FBI,1947-07-15,day,"Seattle, Washington",USA,physical-trace,,,,,,none,,civilian,False,debunked,flames; charred cloth,99; 101,definitely not of AAF origin,high,"A 'flying disc' reported to have landed on a roof, burning and then extinguished."
65_hs1-834228961_62-hq-83894_section_1,FBI,1947-07-07,day,"West Rindge, New Hampshire",USA,physical-trace,,,,,,none,,civilian,False,investigated,burns; metallic fragments,106; 108,small burned spots about one and one half inches in diameter,high,Small burned spots found on a lawn following reports of smoke and metallic fragments.
65_hs1-834228961_62-hq-83894_section_1,FBI,1947,year,Germany,Germany,entity-sighted,,,,,,none,,civilian,True,recorded-no-comment,,147; 148,descending slowly... suddenly it dropped in a spiral motion,medium,Witness reported seeing a strange object in the sky that descended in a spiral motion and disappeared.
65_hs1-834228961_62-hq-83894_section_1,FBI,1947-07-04,day,"Portland, Oregon",USA,entity-sighted,,,,,,none,,federal-le,True,recorded-no-comment,,183,"three flat round discs, having a white color to them",high,Witness reported seeing three flat round discs flying at high speed.
65_hs1-834228961_62-hq-83894_section_10,FBI,1966-03-21,day,"Detroit, Michigan",USA,entity-sighted,,,,,,none,,civilian,False,recorded-no-comment,,15,,medium,"A 17-year-old boy reported seeing a high-altitude object with white lights moving north, and two other individuals reported an object that stopped and changed colors from red to green to amber."
65_hs1-834228961_62-hq-83894_section_10,FBI,1966-03-21,day,"Detroit, Michigan",USA,entity-sighted,,,,,,none,,civilian,False,recorded-no-comment,,15,,medium,A 15-year-old girl reported a motionless object with flashing lights hovering over the John Lodge Expressway.
65_hs1-834228961_62-hq-83894_section_10,FBI,1966-03-21,day,"Detroit, Michigan",USA,entity-sighted,,,,,,none,,civilian,False,recorded-no-comment,,15,,medium,"A 39-year-old man reported an object with rotating red, yellow, and green lights near his home."
65_hs1-834228961_62-hq-83894_section_10,FBI,1966-03-21,day,"Detroit, Michigan",USA,entity-sighted,,,,,,none,,civilian,False,recorded-no-comment,,15,,medium,A 17-year-old girl reported an object that stopped twice and flashed lights while traveling east to west.
65_hs1-834228961_62-hq-83894_section_10,FBI,1966-11-29,day,"Princeton, West Virginia",USA,entity-sighted,,,,,,none,,civilian,True,recorded-no-comment,,41,I have personally seen two of them.,high,"Police Chief Joe Thorn reported personally sighting two UFOs, one in daylight under low cloud cover and another at approximately 2,000 feet altitude."
65_hs1-834228961_62-hq-83894_section_10,FBI,1967-01-18,day,"Chesapeake, Virginia",USA,claimed-abduction,several,not more than 4 feet,"undersized creatures, human-like",regular trouser pants and T-shirts,,none,,civilian,True,recorded-no-comment,missing time,51,He believes that he was taken into this craft which he recalls as being made of a glass like substance,high,"James C. Collins reported being taken into a transparent, glass-like craft by undersized creatures (approx. 4 feet tall) wearing T-shirts and trousers, and being transported for an hour."
65_hs1-834228961_62-hq-83894_section_10,FBI,1944-11,month,"Black Forest, Austria",Austria,close-approach,,,,,,none,,civilian,True,recorded-no-comment,,63; 64; 65; 66; 68; 69,"It was saucer shaped, about twenty-one feet in diameter, radio controlled, and mounted several jet engines",high,"Paul L. Peyerl claimed to have photographed a saucer-shaped, radio-controlled aircraft in 1944 while serving as a test pilot in the Black Forest, Austria."
65_hs1-834228961_62-hq-83894_section_10,FBI,1967-07,month,"Dallas, Texas",USA,claimed-contact,,,,,,unknown,"Information regarding UFO sightings, antimissile missile firings, and extraterrestrial activity.",civilian,True,investigated,,102; 103; 105; 107; 109,"She stated in July, 1967, she met a being from another planet who had assumed earthly form.",high,"A young woman reported meeting a being from another planet in July 1967 who assumed earthly form and departed on August 21, 1967. She also claimed to have received messages from non-earthly sources regarding UFO sightings and incidents."
65_hs1-834228961_62-hq-83894_section_10,FBI,1963-12-07,day,"Moorestown, New Jersey",USA,close-approach,,,cleverly designed missile camouflaged to appear as a meteor or flying saucer,,,none,,civilian,True,dismissed,explosion,127; 129; 130,I claimed that the object which I seen was laying air mines and that this aircraft was destroyed by contact with one of these mines.,high,"An individual reported observing an unusual object in the sky at Moorestown, New Jersey, on December 7, 1963, which he claimed was laying air mines that caused a Pan American aircraft to explode the following day."
65_hs1-834228961_62-hq-83894_section_10,FBI,1973-03-09,day,"Waco, Texas",USA,occupant-report,,,Man in Air Force uniform with chaplain's badge,,,none,,civilian,False,investigated,,161; 162; 163,Ozanne was described as having on an Air Force uniform with a chaplain's badge on the uniform.,high,"A man identifying himself as Dave T. Ozanne, wearing an Air Force uniform with a chaplain's badge, inquired about UFO sightings at a newspaper office while carrying a folder marked 'Top Secret' containing photos of military installations."
65_hs1-834228961_62-hq-83894_section_2,FBI,1947-08-03,day,"Hackensack, New Jersey",USA,entity-sighted,,,,,,none,,civilian,True,investigated,,4; 6; 7,,high,"Two men observed a round, black object, 30-40 inches in diameter, moving horizontally at a steady rate without rays or exhaust."
65_hs1-834228961_62-hq-83894_section_2,FBI,1947-07-09,day,"Midland, Michigan",USA,physical-trace,,,,,,none,,civilian,True,investigated,fused sand; metallic residue; ammonia odor; low-level radioactivity,8; 10; 14,,medium,"A couple observed a ball of white light burning near the ground, leaving behind fused sand and metallic material."
65_hs1-834228961_62-hq-83894_section_2,FBI,1947-08-06,day,"Myrtle Creek, Oregon",USA,entity-sighted,,,,,,none,,civilian,True,investigated,,52; 53; 54,,high,"A pilot and student observed a spherical object, estimated 30-50 feet in diameter, traveling at high speed and climbing rapidly."
65_hs1-834228961_62-hq-83894_section_2,FBI,1947-08-19,day,"Twin Falls, Idaho",USA,entity-sighted,,,,,,none,,civilian,True,investigated,,57; 59; 61,,high,Multiple witnesses observed groups of triangularly-formed illuminated objects flying over the city.
65_hs1-834228961_62-hq-83894_section_2,FBI,1947-09-03,day,"Oswego, Oregon",USA,entity-sighted,,,,,,none,,civilian,True,investigated,,92; 94,,high,"A woman and two children observed approximately two dozen round silver objects, platter-shaped, high in the sky."
65_hs1-834228961_62-hq-83894_section_2,FBI,1947-09-17,day,"Rix Ledges, north of Lebanon, N.H.",USA,close-approach,,,,,,none,,civilian,True,investigated,glare of the sun,100,I observed a so-called flying saucer.,high,"Superintendent of Schools A. Courtney Parker observed a white, ball-shaped object followed by a saucer-shaped object moving noiselessly from the East."
65_hs1-834228961_62-hq-83894_section_2,FBI,1947-07-07,day,"Phoenix, Arizona",USA,close-approach,,,"dark, odd-shaped ship, 20-30 feet in diameter, green house in center",,,none,,civilian,True,investigated,no noise audible,117; 118,I observed to the northeast what appeared to be an odd shaped ship.,high,"William Albert Rhodes observed an odd-shaped ship, 20-30 feet in diameter, making a spiral maneuver before banking into the clouds."
65_hs1-834228961_62-hq-83894_section_2,FBI,1947-09-11,day,"Portland, Oregon",USA,close-approach,,,,,,none,,federal-le,False,recorded-no-comment,,120,an object similar in size to a weather balloon,medium,"Chief of Police Leon V. Jenkins observed a bright metal object, similar to a weather balloon, traveling rapidly."
65_hs1-834228961_62-hq-83894_section_2,FBI,1947-09-06,day,"Shouns, Tennessee",USA,close-approach,,,football-shaped,,,none,,civilian,False,recorded-no-comment,,122,object which he described as being shaped like football,medium,Mrs. G. H. Stockton and Hugh Jennings observed a football-shaped object turning end over end at constant altitude.
65_hs1-834228961_62-hq-83894_section_2,FBI,1947-06-24,day,"Cascade Mountains, Oregon",USA,close-approach,,,,,,none,,civilian,True,investigated,compass acted very peculiar,127,saw a disc proceeding in a southeasterly direction.,high,"Fred M. Johnson observed a disc-shaped object with a tail, approximately 30 feet in diameter, while prospecting."
65_hs1-834228961_62-hq-83894_section_2,FBI,1947-06-24,day,"Mt. Rainier, Washington",USA,close-approach,,,"disc-like, crescent-shaped, mirror bright",,,none,,pilot-civilian,True,investigated,,164; 165; 166; 167,I observed a chain of nine peculiar looking aircraft,high,Kenneth Arnold observed nine disc-like objects flying in a chain-like formation near Mt. Rainier.
65_hs1-834228961_62-hq-83894_section_2,FBI,1947-07-09,day,"Boise, Idaho",USA,close-approach,,,black and round,,,none,,pilot-civilian,True,investigated,,169; 170; 171; 172; 173,there suddenly appeared in the left hand portion of my field of vision an object which was black and round.,high,"David N. Johnson observed a black, round object performing erratic maneuvers while flying an AT-6 aircraft."
65_hs1-834228961_62-hq-83894_section_2,FBI,1947-07-29,day,"Hamilton Field, California",USA,close-approach,,,"solid, white, shiny, ball-like on bottom",,,none,,military,True,investigated,,186,two flying objects traveling the same direction as the P-80.,high,"Captain William H. Ryherd observed two shiny, ball-like objects traveling at high speed."
65_hs1-834228961_62-hq-83894_section_2,FBI,1947-06-28,day,"Lake Meade, Nevada",USA,close-approach,,,"white, circular, 36 inches in diameter",,,none,,military,True,investigated,,189,"sighted five or six white, circular objects",high,"Lt. Eric B. Armstrong observed five or six white, circular objects flying in close formation."
65_hs1-834228961_62-hq-83894_section_2,FBI,1947-08-04,day,"Bethel, Alaska",USA,close-approach,,,"smooth surfaced, streamlined, larger than DC-3",,,none,,pilot-civilian,True,investigated,,183,sighted and followed a flying saucer Northwest of Bethel Alaska.,high,"Captain Jack Peck and Vince Daly observed a smooth, streamlined object larger than a DC-3 crossing their course."
65_hs1-834228961_62-hq-83894_section_2,FBI,1946-09-01,month,"Rehoboth Beach, Delaware",USA,close-approach,,,"projectile, 15 inches diameter, spurting flames",,,none,,pilot-civilian,True,investigated,,192,projectile approximately fifteen inches in diameter which crossed his course,high,Horace P. Wenyon observed a projectile-like object with spurting flames traveling at high speed.
65_hs1-834228961_62-hq-83894_section_3,FBI,1947-06-24,day,"Mt. Adams, Washington",USA,entity-sighted,,,"Round, 30 feet in diameter, oval-shaped, bright top surface, tail object like a clock hand.",,,none,,civilian,True,investigated,,4,they were Round about 30 foot in dimater tapering sharply to a point in the head end in an oval shape.,high,"F. M. Johnson reported seeing a formation of round, oval-shaped flying discs near Mt. Adams on June 24, 1947, while prospecting."
65_hs1-834228961_62-hq-83894_section_3,FBI,1947-08-14,day,"Harmon Field, Guam",Guam,entity-sighted,,,"Small, crescent-shaped.",,"Traveling at twice the speed of a fighter plane, zig-zag course.",none,,military,False,recorded-no-comment,,6,"small, crescent shaped and traveling at a speed twice that of a fighter plane",medium,"Three enlisted men at Harmon Field, Guam, reported seeing two small, crescent-shaped objects traveling at high speed on a zig-zag course."
65_hs1-834228961_62-hq-83894_section_3,FBI,1947-06-21,day,"Maury Island, Washington",USA,physical-trace,,,"Round, flattened, 100 feet across, 25-foot center hole, portholes.",,,none,,civilian,True,debunked,boat damage; dog killed; debris/lava dropped,15; 16; 33; 35; 36; 41; 44; 51; 52; 53; 54; 55; 56,Five flying discs came down out of the clouds and circled slowly around the bay,high,"Harold Dahl and Fred Crisman claimed that flying discs dropped debris on their boat near Maury Island, killing a dog and damaging the boat."
65_hs1-834228961_62-hq-83894_section_3,FBI,1947-08-14,day,"Placerville, California",USA,physical-trace,,,"Rocket-shaped, 4-6 feet long, 10-14 inches wide, bright chromium color.",,"Shallow dive, high speed.",none,,civilian,True,investigated,puff of smoke,73; 79; 80; 82,"object, four to six feet in length, ten to fourteen inches wide, and of a metal color, bright like highly polished chromium.",high,"Ray A. Switzer reported seeing a metallic, rocket-shaped object crash with a puff of smoke near Placerville, California."
65_hs1-834228961_62-hq-83894_section_3,FBI,1947-07-29,day,"Canyon Ferry, Montana",USA,entity-sighted,,,"Bright disc, 5 feet in diameter, 3-4 inches thick, polished nickel appearance.",,"Hovering, fluttering, then disappeared at high speed.",none,,civilian,True,recorded-no-comment,,76,bright disc hovering and fluttering in the air,high,"R. J. Madden and two others reported seeing a bright, fluttering disc hovering and then disappearing at high speed."
65_hs1-834228961_62-hq-83894_section_3,FBI,1947-06-24,day,"Mt. Rainier, Washington",USA,close-approach,9,,"saucer-like, disc-shaped, no tails, bright reflection",,"flying in formation, swerving, high speed",none,,pilot-civilian,True,investigated,reflection,105; 106; 107; 108; 109; 110; 111; 112; 138; 139; 140; 141; 142,I observed a chain of nine peculiar looking aircraft,high,"Kenneth Arnold observed nine disc-like objects flying in formation near Mt. Rainier, Washington, at high speed."
65_hs1-834228961_62-hq-83894_section_3,FBI,1947-08-13,day,"Snake River Canyon, Idaho",USA,close-approach,1,10 ft,"oblong, inverted pie-plate, light sky blue, red tubular fiery glow",,"hovering, fluttering, high speed",none,,civilian,True,investigated,trees spun around as if in a vacuum,123; 124; 125; 128; 131; 133; 134,"It was all one color—sort of a light sky blue with a red, tubular fiery glow",high,A.C. Urie and his two sons observed a disc-shaped object flying through Snake River Canyon.
65_hs1-834228961_62-hq-83894_section_3,FBI,1947-05-17,day,"Oklahoma City, Oklahoma",USA,close-approach,1,,"elliptical then perfectly round and flat, frosty white",,moving at high speed,none,,civilian,True,investigated,swishing sound,136; 137,it appeared perfectly round and was flat,high,Byron B. Savage observed a disc-shaped object over Oklahoma City.
65_hs1-834228961_62-hq-83894_section_3,FBI,1947-09-17,year,"Fort Richardson, Alaska",USA,close-approach,1,2-10 ft,"spherical, silver, dull metal finish",,"traveling against the wind, high speed",none,,military,True,investigated,,150; 152,The object appeared to be shaped like a sphere,high,"Two army officers observed a spherical object traveling at high speed near Fort Richardson, Alaska."
65_hs1-834228961_62-hq-83894_section_3,FBI,1947-07-29,day,"Canyon Ferry, Montana",USA,close-approach,1,,"bright disc, polished nickel",,"hovering, fluttering, high speed",none,,civilian,True,investigated,,172; 173,a bright disc hovering and fluttering in the air,high,"R.J. Madden and two others observed a disc hovering and then disappearing at high speed near Canyon Ferry, Montana."
65_hs1-834228961_62-hq-83894_section_4,FBI,1947-09-11,day,"Portland, Oregon",USA,close-approach,,,"silvery metal, round or elliptical, bright reflection",,"steady flight, no oscillation, high speed",none,,civilian,True,investigated,sunlight reflection,2; 4,very bright reflection of the sun on some object which was apparently made of silvery metal,high,"Police officers in Portland, Oregon, observed a bright, silvery, round or elliptical object reflecting sunlight, moving steadily at high speed and altitude."
65_hs1-834228961_62-hq-83894_section_4,FBI,1947-07,month,"Bethel, Alaska",USA,close-approach,,,"dark, flying wing, size of C-54 without fuselage",,"flying at 1,000 feet, estimated 300 mph, concise outline",none,,civilian,True,investigated,none reported,5; 6,"did not blend into the sky but had a definite, concise outline",high,"Pilot Jack Peck and co-pilot Vince Daly observed a dark, wing-shaped object without fuselage or visible propulsion near Bethel, Alaska."
65_hs1-834228961_62-hq-83894_section_4,FBI,1948-12-07,day,"Lone Pine, California",USA,physical-trace,,,"8-foot diameter disc, 2 feet thick, 4-foot wings, aluminum construction",,"crashed, semi-vertical position",none,,civilian,True,debunked,crashed; dented,66; 68; 72; 74; 76; 80; 82; 91; 95; 96; 97; 98; 99,object which could be described as being 8' in diameter with wings about 4' long,high,"Lonnie Noack and companions located a crashed object in the California desert, described as a disc with wings and jet propulsion containers."
65_hs1-834228961_62-hq-83894_section_4,FBI,1948-07,month,"Montgomery, Alabama",USA,close-approach,,,,,,none,,pilot-civilian,False,recorded-no-comment,,115; 179; 180,unconventional type without wings and resembled generally a rocket ship,medium,"Eastern Airlines pilot and co-pilot reported an unconventional, wingless, rocket-ship-like craft with windows, larger than their plane, traveling at high speed near Montgomery, Alabama."
65_hs1-834228961_62-hq-83894_section_4,FBI,1949-04-16,day,"Fort Smith, Arkansas",USA,close-approach,,,,,,none,,civilian,True,recorded-no-comment,,133; 135; 136,brilliant object moving in a southeastern direction,high,"A post office employee observed a brilliant, mirror-like object moving at high altitude in Fort Smith, Arkansas."
65_hs1-834228961_62-hq-83894_section_4,FBI,1949-04,month,"Griffith Park, Los Angeles, California",USA,entity-sighted,,,,,,none,,civilian,False,forwarded-no-action,,139; 141,noticed an object sailing through the sky,medium,Three employees of the Department of Recreation and Parks observed objects appearing to be flying discs in Griffith Park.
65_hs1-834228961_62-hq-83894_section_4,FBI,1949-03-31,day,"Killeen Base, Camp Hood, Texas",USA,close-approach,,,,,,none,,military,True,recorded-no-comment,,145,"lighted object about the size of a basketball, reddish white in color",high,"A military officer observed a lighted, basketball-sized reddish-white object with a fire trail pass over Killeen Base."
65_hs1-834228961_62-hq-83894_section_4,FBI,1949-04-04,day,"Merced, California",USA,close-approach,,,,,,none,,military,True,recorded-no-comment,,157; 159,object was observed blanking out stars in describing a flight path,high,A major in the Air Force Reserve observed a solid mass object with a clicking noise that maneuvered in the sky.
65_hs1-834228961_62-hq-83894_section_4,FBI,1949-05-14,day,"Nobleboro, Maine",USA,close-approach,,,,,,none,,civilian,True,recorded-no-comment,,189; 194; 195; 196; 197; 198,"shape was angular, more like a piece of torn paper",medium,"A witness observed an angular, paper-like object in the sky that changed shape and appeared to be on fire."
65_hs1-834228961_62-hq-83894_section_5,FBI,1949-09-25,day,"Lubeck, West Virginia",United States,entity-sighted,1,,"bright canary yellow, rocket-shaped, needle nose, blunt rear, vertical and horizontal fins",,"traveling at high speed, dropping slightly",none,,civilian,True,investigated,,41; 42; 43,bright yellow object coming directly towards me,high,"A pilot reported observing a bright yellow, rocket-shaped object approximately 15-18 inches long, traveling at high speed near Parkersburg, West Virginia."
65_hs1-834228961_62-hq-83894_section_5,FBI,1950-03-09,day,"Denver, Colorado",United States,occupant-report,,,"human form, three feet tall",,dead,none,,unknown,False,debunked,,54; 55,"occupants of saucers described by him as of human form, but about three feet tall",medium,A lecturer at Denver University claimed to have observed crashed flying saucers in New Mexico and recovered human-like occupants approximately three feet tall.
65_hs1-834228961_62-hq-83894_section_5,FBI,1950-03-22,day,New Mexico,United States,occupant-report,3,,"human shape, three feet tall, metallic cloth suits",,,none,,civilian,False,recorded-no-comment,,68,"three bodies of human shape but only 3 feet tall, dressed in metallic cloth",medium,An informant reported observing a circular object with three-foot tall occupants in metallic cloth suits recovered in New Mexico.
65_hs1-834228961_62-hq-83894_section_5,FBI,1950-04-01,day,"Route 47, west of Geneva, Illinois",USA,close-approach,,,,,,none,,civilian,True,forwarded-no-action,,107,,high,"Miss Laura McChesney observed a silvery white, diamond-shaped object traveling west at high speed near Geneva, Illinois."
65_hs1-834228961_62-hq-83894_section_5,FBI,1950-04-08,day,"Elmira, New York",USA,physical-trace,,,,,,none,,federal-le,False,debunked,scorched grass,113; 115,,high,"Elmira Police Department reported a landed object near the airport, which was identified by the Resident Agent as a corrugated cardboard box with a radio tube and flare."
65_hs1-834228961_62-hq-83894_section_5,FBI,1950-01-22,day,"Kodiak, Alaska",USA,close-approach,,,,,,none,,military,True,investigated,,147; 148,,high,"Naval personnel reported multiple sightings of unidentified objects, including radar interference and visual sightings of fast-moving orange lights and fireballs."
65_hs1-834228961_62-hq-83894_section_5,FBI,1950-06-25,day,"Washington, D.C.",USA,close-approach,,,,,,none,,civilian,True,recorded-no-comment,,166; 167,,high,"Douglas Harrison observed a cigar-shaped, silver object at high altitude moving east over Washington, D.C."
65_hs1-834228961_62-hq-83894_section_5,FBI,1950-07-04,day,"Downers Grove, Illinois",USA,close-approach,,,,,,none,,civilian,True,recorded-no-comment,,169,,high,"Tage Stensig, a meteorologist, observed a large, bright, silvery object moving at high speed over Downers Grove, Illinois."
65_hs1-834228961_62-hq-83894_section_5,FBI,1950-07-01,day,"North Chicago, Illinois",USA,close-approach,,,,,,none,,civilian,True,recorded-no-comment,,174,,high,An informant observed a cigar-shaped object with a glowing front and dark rear traveling at high speed over the Great Lakes Naval Training Center.
65_hs1-834228961_62-hq-83894_section_5,FBI,1950-07-19,day,"Toronto, Ontario",Canada,close-approach,,,,,,none,,civilian,True,forwarded-no-action,,208,,high,"Walter D. Jones observed a hazy, light-emitting object circling over his farm near Toronto for 35 minutes."
65_hs1-834228961_62-hq-83894_section_6,FBI,1950-09-26,day,"Philadelphia, Pennsylvania",USA,physical-trace,,,"six-foot circular object, purplish glow, mist-like",,,none,,civilian,False,investigated,purplish glow; odorless residue; disintegration,8; 18,"object broke, leaving a slight odorless residue",medium,Two Philadelphia police officers observed a six-foot circular object with a purplish glow land in a field; it disintegrated into an odorless residue after 25 minutes.
65_hs1-834228961_62-hq-83894_section_6,FBI,1950-10-02,day,"Venus Boulevard, near 25th Street",USA,physical-trace,,,"round object, six feet in circumference, lavender color, pale violet",,,none,,federal-le,False,investigated,evaporation; red flashing pulsation,19,"leaving nothing but a red, flashing pulsation",medium,"Two FBI officers observed a round object, six feet in circumference, land in a field; it evaporated into a red, flashing pulsation."
65_hs1-834228961_62-hq-83894_section_6,FBI,1952-05-10,day,"Savannah River Plant, Ellenton, South Carolina",USA,entity-sighted,,,"disc-shaped, 15 inches in diameter, yellow to gold color",,"traveling at high speed and altitude, weaving from left to right, noiseless",none,,civilian,False,investigated,,140; 144; 148,"objects as being about fifteen inches in diameter, having yellow to gold color",high,"Four employees of the DuPont Company at the Savannah River Plant observed multiple disc-shaped objects over the 400 area on May 10, 1952. The objects were described as 15 inches in diameter, yellow to gold in color, traveling at high speed and altitude without noise, and weaving from left to right."
65_hs1-834228961_62-hq-83894_section_6,FBI,1952-05-25,day,"Ashland, Kentucky",USA,entity-sighted,,,"large oysters with fishtails, oval shape, light blue color",,"floating low like a cloud, circled and changed direction",none,,civilian,False,recorded-no-comment,,150; 151,looking like large oysters with fishtails floating low like a cloud,medium,"Three women observed strange objects floating in the sky over Ashland, Kentucky, on May 25, 1952. The objects were described as looking like large oysters with fishtails, oval in shape, and floating low like a cloud."
65_hs1-834228961_62-hq-83894_section_6,FBI,1952-03-29,day,"Ritchie Highway, Baltimore, Maryland",USA,close-approach,,,"flat disk with a cupola or dome, luminous silver color, neon-like lights around edges, 50 feet in diameter",,"hovered, wavered slightly, turned on edge, moved at high speed",none,,civilian,True,debunked,engine stall; paint cracking,153; 157; 158; 164,flat disk with a cupola or dome in the center of one side,high,"Donald Stewart and George Tyler III claimed to have observed a disc-like aircraft on Ritchie Highway near Baltimore, Maryland, on March 29, 1952. Stewart claimed the object hovered 200 feet above his car, causing the engine to stop and paint to crack, and that he considered firing a sub-machine gun at it."
65_hs1-834228961_62-hq-83894_section_7,FBI,1952-08-08,day,"Savannah River Plant, South Carolina",USA,entity-sighted,,,,,,none,,civilian,False,recorded-no-comment,,3,,medium,Two employees of the E. I. DuPont Company observed a saucer-shaped object with a blue light and orange fringe flying at high speed over the Savannah River Plant.
65_hs1-834228961_62-hq-83894_section_7,FBI,1952-08-26,day,"West Palm Beach, Florida",USA,physical-trace,,,,,,none,,civilian,False,investigated,burns; loss of consciousness; singed hair,44,,high,"A scoutmaster reported an unidentified object 30 feet in diameter hovering over him; he claimed it shot a 'red blob' that caused him to lose consciousness, leaving his cap burned and arm hair singed."
65_hs1-834228961_62-hq-83894_section_7,FBI,1917,year,"Roadstown, New Jersey",USA,entity-sighted,,,,,,none,,civilian,True,recorded-no-comment,,48; 50,,medium,"A witness reported seeing a pale yellow object that fell toward Earth, moved horizontally, and then rose and disappeared into space."
65_hs1-834228961_62-hq-83894_section_7,FBI,1952-07-28,day,"Franklin, Indiana",USA,close-approach,,,"round and flat, one large yellowish-white, two smaller orange and red",,"barrel rolls, loops, spins, 90 and 45 degree turns, hovering",none,,civilian,False,recorded-no-comment,engine stall; radar readings,123,dancing up and down as if someone was playing with a giant yo-yo,high,"Three objects, one large and two small, observed over Franklin, Indiana, performing aerial maneuvers for over four hours."
65_hs1-834228961_62-hq-83894_section_7,FBI,1952-09-22,day,"Los Angeles, California",USA,close-approach,,,"disc shaped, yellowish-white, 50 feet in diameter",,,none,,civilian,False,recorded-no-comment,,123,remained in a stationary position for about 4 seconds,medium,"A disc-shaped object sighted in the East of Los Angeles, remaining stationary before moving north."
65_hs1-834228961_62-hq-83894_section_7,FBI,1952-10-11,day,"Charleston, West Virginia",USA,occupant-report,2,,two small men in red,red,"emerged from trap, climbed tree, looked around, re-entered craft",none,,civilian,False,recorded-no-comment,white light,116,two small men in red emerged from a trap in the top,medium,"A large metal ball landed in Charleston, West Virginia; two small men in red emerged from a trap in the top."
65_hs1-834228961_62-hq-83894_section_7,FBI,1953-07-08,day,"Mableton, Georgia",USA,occupant-report,3,,"21 inches long, pointed head, large ears, pinkish skin, no hair",,running toward saucer,none,,civilian,True,investigated,blood,154; 156; 159; 160; 161; 163,looked as if it belonged to monkey family,high,"Three small animals encountered on Bankhead Highway near Mableton, Georgia; one killed by automobile."
65_hs1-834228961_62-hq-83894_section_8,FBI,1953,year,Nevada desert,USA,claimed-contact,,,ravishing woman commandant,,,none,,contactee-figure,False,investigated,,7,,medium,Truman Bethurum claimed to have been aboard flying saucers on eleven occasions and to have met a crew of space explorers led by a woman commandant in the Nevada desert.
65_hs1-834228961_62-hq-83894_section_8,FBI,1954,month,"South Berwick, Maine",USA,claimed-communication,,,"Space ships 150 miles wide, 200 miles long, 100 miles deep.",,Repairing fault lines in the Pacific Ocean.,telepathic,"Messages regarding flying saucers, life on other planets, and protection of Earth from atomic destruction.",civilian,False,investigated,buzzing sound in ear,12; 14; 15; 16; 17; 18; 19; 20,,high,"Mrs. Frances Swan claimed to receive telepathic messages from beings on space ships designated M-4 and L-11, managed by 'Affa' and 'Ponnar', who are repairing fault lines in the Pacific Ocean."
65_hs1-834228961_62-hq-83894_section_8,FBI,1954,year,"Muenster, Germany",Germany,occupant-report,4,,"Three and one-half feet in height, thick-set bodies, oversized heads, delicate legs.",rubber-like clothing,,none,,civilian,False,recorded-no-comment,,50,,low,Franz Hoge reported a cigar-shaped craft hovering six feet above the ground and observed four creatures.
65_hs1-834228961_62-hq-83894_section_8,FBI,1955-10-04,day,between Baku and Tiflis,Russia,close-approach,,,greenish-yellow glowing ball,,"rising rapidly, rotating, whirling",none,,government-civilian,True,investigated,engine stall,119; 120; 121; 123; 125,small greenish-yellow glowing ball rising quite rapidly in sky,high,Senator Richard B. Russell and his party observed two greenish-yellow glowing balls rising rapidly while traveling by train in Russia.
65_hs1-834228961_62-hq-83894_section_8,FBI,1956-04-06,day,"Route 1 near Henderson, North Carolina",United States,close-approach,,,"oval shaped, bright, light blue, spinning",,"approached car, accelerated, veered off",none,,civilian,True,investigated,rain,132; 133; 134,"oval-shaped, low-flying object coming directly towards their car",high,"Sylvia L. Richards and Joseph L. Morris, Jr. observed a low-flying, oval-shaped, bright light blue object while driving."
65_hs1-834228961_62-hq-83894_section_8,FBI,1956-05-04,day,"Oxford, Pennsylvania",United States,close-approach,,,"solid, bright, yellow light",,traveling at high speed,none,,civilian,True,investigated,,137; 139; 141,"solid, bright, yellow light, visible from all directions",high,Thomas Gamble (Billy Thomas Gambill) observed a bright yellow light traveling at high speed.
65_hs1-834228961_62-hq-83894_section_8,FBI,1956-07-30,day,"Van Nuys, California",United States,claimed-abduction,,,little green men,,,verbal,invited him to ride in their ship,civilian,False,dismissed,split tree,143; 144; 145,some little green men emerged from the vehicle and invited KITTREDGE to ride,medium,Tod Kittredge reported a spherical vehicle landed in his yard and entities invited him for a ride.
65_hs1-834228961_62-hq-83894_section_8,FBI,1944,year,Gut Alt Golssen,Germany,close-approach,,,"circular, 75-100 yards diameter, 14 feet high",,"rose vertically, moved horizontally",none,,civilian,True,recorded-no-comment,tractor engine stall,208; 213; 214,"circular in shape, seventy-five to one hundred yards in diameter",high,Wladyslaw Krasuski observed a circular vehicle while a prisoner of war in Germany.
65_hs1-834228961_62-hq-83894_section_9,FBI,1957-11-11,day,"Matahambre Mines, Pinar del Rio Province",Cuba,close-approach,,,,,,none,,civilian,False,recorded-no-comment,,4; 5,,medium,Two individuals claimed to have seen a flying disc in the shape of a man's hat hovering over the Matahambre Mines area for several minutes before it disappeared at high speed toward the sea.
